daily_time_spent,Age,area_income,daily_internet_usage,ad_topic_line,City,is_male,Country,Timestamp,clicked_on_ad,Hour,Day_of_Week,Month,Income_Category,Age_Category,Internet_Usage_Category,Time_Spent_Category
0.6178820329763726,0.38095238095238093,0.7304724660740926,0.9160309964886789,Cloned 5thgeneration orchestration,Wrightburgh,0,Tunisia,2016-03-27 00:53:00,0,0.0,6.0,3.0,2.0,1.0,3.0,2.0
0.8096209416964133,0.2857142857142857,0.8313752227497125,0.5387456108487713,Monitored national standardization,West Jodi,1,Nauru,2016-04-04 01:39:00,0,0.043478260869565216,0.0,4.0,3.0,1.0,2.0,3.0
0.6267210606833247,0.16666666666666674,0.6992003151708015,0.797433103281269,Organic bottom-line service-desk,Davidton,0,San Marino,2016-03-13 20:35:00,0,0.8695652173913043,6.0,3.0,2.0,0.0,3.0,2.0
0.706272310045895,0.23809523809523814,0.6231598621433141,0.8542801791984501,Triple-buffered reciprocal time-frame,West Terrifurt,1,Italy,2016-01-10 02:31:00,0,0.08695652173913043,6.0,1.0,1.0,0.0,3.0,2.0
0.6080231174570798,0.38095238095238093,0.9145677930256245,0.7313234047705536,Robust logistical utilization,South Manuel,0,Iceland,2016-06-03 03:36:00,0,0.13043478260869565,4.0,6.0,3.0,1.0,3.0,2.0
0.46557878633350325,0.09523809523809523,0.6988280349314304,0.7383460467368933,Sharable client-driven software,Jamieberg,1,Norway,2016-05-19 14:30:00,0,0.6086956521739131,3.0,5.0,2.0,0.0,3.0,1.0
0.9571647118816928,0.33333333333333337,0.6086026053508794,0.6270734955805789,Enhanced dedicated support,Brandonstad,0,Myanmar,2016-01-28 20:59:00,0,0.8695652173913043,3.0,1.0,1.0,1.0,2.0,3.0
0.5677375488696244,0.6904761904761905,0.16181256804650604,0.1633369657343503,Reactive local challenge,Port Jefferybury,1,Australia,2016-03-07 01:40:00,1,0.043478260869565216,0.0,3.0,0.0,3.0,0.0,1.0
0.7127315995240522,0.26190476190476186,0.837790872568077,0.706683617871413,,West Colin,1,Grenada,2016-04-18 09:33:00,0,0.3913043478260869,0.0,4.0,3.0,1.0,3.0,2.0
0.6336902940676523,0.023809523809523836,0.6359276389828412,0.4785082939823223,Mandatory homogeneous architecture,Ramirezton,1,Ghana,2016-07-11 01:42:00,0,0.043478260869565216,0.0,7.0,1.0,0.0,2.0,2.0
0.25565187829338765,0.7142857142857142,0.483078809497269,0.10437098922387689,Centralized neutral neural-net,West Brandonton,0,Qatar,2016-03-16 20:19:00,1,0.8695652173913043,2.0,3.0,0.0,3.0,0.0,0.0
,0.4285714285714286,0.7405064721484601,0.7633490737377407,Team-oriented grid-enabled Local Area Network,East Theresashire,1,Burundi,2016-05-08 08:10:00,0,0.34782608695652173,6.0,5.0,2.0,2.0,3.0,
0.6284208737038923,0.6904761904761905,0.5747655688115281,0.05049037413730473,Centralized content-based focus group,West Katiefurt,1,Egypt,2016-06-03 01:14:00,1,0.043478260869565216,4.0,6.0,1.0,3.0,0.0,2.0
0.7975522692503823,,0.5763339405664828,0.6626104855309359,Synergistic fresh-thinking array,North Tara,0,Bosnia and Herzegovina,2016-04-20 21:49:00,0,0.9130434782608695,2.0,4.0,1.0,,2.0,3.0
0.17593064762876087,0.33333333333333337,0.2592753209351899,0.234774185736772,Grass-roots coherent extranet,West William,0,Barbados,2016-03-24 09:31:00,1,0.3913043478260869,3.0,3.0,0.0,1.0,1.0,0.0
0.524392316845147,0.09523809523809523,0.5830923997110935,0.21709650078702014,Persistent demand-driven interface,New Travistown,1,Spain,2016-03-09 03:41:00,1,0.13043478260869565,2.0,3.0,1.0,0.0,1.0,1.0
0.3873873873873873,0.4285714285714286,0.1517883347101696,0.1491100617508173,Customizable multi-tasking website,West Dylanberg,0,Palestinian Territory,2016-01-30 19:20:00,1,0.8260869565217391,5.0,1.0,0.0,2.0,0.0,1.0
0.8402175760666326,0.5238095238095238,0.8782420676670489,0.5009686402712193,Intuitive dynamic attitude,Pruittmouth,0,Afghanistan,2016-05-02 07:00:00,0,0.30434782608695654,0.0,5.0,3.0,2.0,2.0,3.0
0.37565867754547,0.40476190476190477,0.260978525935167,0.08239496307058969,Grass-roots solution-oriented conglomeration,Jessicastad,1,British Indian Ocean Territory (Chagos Archipelago),2016-02-13 07:53:00,1,0.30434782608695654,5.0,2.0,0.0,2.0,0.0,1.0
0.713581506034336,0.5,0.15003015805876777,0.1860394720910521,Advanced 24/7 productivity,Millertown,1,Russian Federation,2016-02-27 04:43:00,1,0.17391304347826086,5.0,2.0,0.0,2.0,0.0,2.0
0.7584565697773245,0.26190476190476186,0.7758001047515357,0.7244218428381161,Object-based reciprocal knowledgebase,Port Jacqueline,1,Cameroon,2016-01-05 07:52:00,0,0.30434782608695654,1.0,1.0,2.0,1.0,3.0,2.0
0.8837327893931668,0.38095238095238093,0.7027067430365423,0.737135246397869,Streamlined non-volatile analyzer,Lake Nicole,1,Cameroon,2016-03-18 13:22:00,0,0.5652173913043478,4.0,3.0,2.0,1.0,3.0,3.0
0.15111337752847187,0.7857142857142858,0.2846187792323208,0.3635428017919846,Mandatory disintermediate utilization,South John,0,Burundi,2016-05-20 08:49:00,1,0.34782608695652173,4.0,5.0,0.0,3.0,1.0,0.0
